usercmd_viewangle_y,usercmd_impulse,usercmd_viewangle_x,tick,steamid,name
-39.19677,0.0,2.3992703,144822,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144822,76561198171814417,Faat
165.62042,0.0,-4.5759516,144822,76561199052717313,Worfy
,,,144823,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144823,76561199826895670,RME | Пацан
,,,144823,76561198002613044,frees.tyler
,,,144823,76561198274174345,zig
,,,144823,76561199433997570,Simple Dimple skins.army
,,,144823,76561199557907229,shawty#)$@
,,,144823,76561198049602148,Moon
-39.19677,0.0,2.3992703,144823,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144823,76561198171814417,Faat
165.62042,0.0,-4.5759516,144823,76561199052717313,Worfy
,,,144824,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144824,76561199826895670,RME | Пацан
,,,144824,76561198002613044,frees.tyler
,,,144824,76561198274174345,zig
,,,144824,76561199433997570,Simple Dimple skins.army
,,,144824,76561199557907229,shawty#)$@
,,,144824,76561198049602148,Moon
-39.19677,0.0,2.3992703,144824,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144824,76561198171814417,Faat
