canzoom,defindex,hassilencer,hastracers,ispainted,issilenced,item,tick,user_name,user_steamid,weptype
True,0,False,True,False,False,ssg08,10663,Faat,76561198171814417,5
False,0,False,False,False,False,flashbang,10768,shawty#)$@,76561199557907229,9
False,0,True,True,True,True,hkp2000,10771,Simple Dimple skins.army,76561199433997570,1
False,0,False,False,False,False,smokegrenade,10778,shawty#)$@,76561199557907229,9
False,0,False,True,True,False,glock,10824,Faat,76561198171814417,1
True,0,False,True,False,False,ssg08,10837,Faat,76561198171814417,5
False,0,False,True,True,False,deagle,10893,Worfy,76561199052717313,1
False,0,False,False,False,False,knife,10995,Simple Dimple skins.army,76561199433997570,0
False,0,True,True,True,True,hkp2000,11179,Simple Dimple skins.army,76561199433997570,1
False,0,False,False,True,False,knife,11199,Worfy,76561199052717313,0
False,0,False,True,True,False,mac10,11208,frees.tyler,76561198002613044,2
False,0,True,True,False,True,m4a1,11225,Simple Dimple skins.army,76561199433997570,3
False,0,False,True,True,False,deagle,11241,Worfy,76561199052717313,1
False,0,False,True,False,False,mp9,11248,shawty#)$@,76561199557907229,2
False,0,False,False,False,False,knife,11256,shawty#)$@,76561199557907229,0
False,0,False,False,False,False,smokegrenade,11371,frees.tyler,76561198002613044,9
False,0,False,True,True,False,glock,11402,Faat,76561198171814417,1
True,0,False,True,False,False,ssg08,11439,Faat,76561198171814417,5
False,0,True,True,True,True,hkp2000,11476,prosto bo$$,76561199068251294,1
False,0,False,False,False,False,knife,11480,prosto bo$$,76561199068251294,0
False,0,False,True,False,False,mp9,11569,shawty#)$@,76561199557907229,2
False,0,False,True,True,False,mac10,11604,frees.tyler,76561198002613044,2
False,0,True,True,True,True,m4a1,11632,prosto bo$$,76561199068251294,3
False,0,False,False,False,False,knife,11757,Faat,76561198171814417,0
False,0,True,True,True,True,hkp2000,11771,prosto bo$$,76561199068251294,1
False,0,False,False,False,False,knife,11773,prosto bo$$,76561199068251294,0
False,0,True,True,True,True,m4a1,11774,prosto bo$$,76561199068251294,3
True,0,False,True,False,False,ssg08,11879,Faat,76561198171814417,5
False,0,True,True,True,True,hkp2000,12000,Simple Dimple skins.army,76561199433997570,1
False,0,False,False,False,False,knife,12024,Simple Dimple skins.army,76561199433997570,0
False,0,True,True,True,True,hkp2000,12054,Simple Dimple skins.army,76561199433997570,1
False,0,True,True,True,True,hkp2000,12080,prosto bo$$,76561199068251294,1
False,0,False,False,False,False,knife,12082,prosto bo$$,76561199068251294,0
False,0,True,True,True,True,m4a1,12083,prosto bo$$,76561199068251294,3
False,0,True,True,False,True,m4a1,12087,Simple Dimple skins.army,76561199433997570,3
False,0,False,False,False,False,knife,12119,prosto bo$$,76561199068251294,0
False,0,True,True,True,True,m4a1,12220,prosto bo$$,76561199068251294,3
False,0,False,True,True,False,glock,12373,Faat,76561198171814417,1
True,0,False,True,False,False,ssg08,12378,Faat,76561198171814417,5
False,0,False,True,True,False,glock,12680,Faat,76561198171814417,1
True,0,False,True,False,False,ssg08,12686,Faat,76561198171814417,5
False,0,True,True,True,True,hkp2000,12721,Simple Dimple skins.army,76561199433997570,1
False,0,False,False,False,False,knife,12723,Simple Dimple skins.army,76561199433997570,0
False,0,True,True,True,True,hkp2000,12737,prosto bo$$,76561199068251294,1
False,0,False,False,False,False,knife,12742,prosto bo$$,76561199068251294,0
False,0,True,True,True,True,hkp2000,12770,Simple Dimple skins.army,76561199433997570,1
False,0,False,False,False,False,knife,12791,Simple Dimple skins.army,76561199433997570,0
False,0,True,True,True,True,m4a1,12824,prosto bo$$,76561199068251294,3
