angles_x,angles_y,angles_z,attack_type,ent_origin_x,ent_origin_y,ent_origin_z,inaccuracy,item_def_index,mode,num_bullets_remaining,origin_x,origin_y,origin_z,player,player_inair,player_scoped,recoil_index,round,seed,sound_dsp_effect,sound_type,spread,tick,user_name,user_steamid,weapon_id
3.3708446,23.093472,8.833469e-05,0,-1087.9071,1325.773,-111.96875,0.033767443,17,0,28,-1083.6005,1318.2985,-48.042175,10928638,,,2.0,7,4011258369,2420502755,2,0.0006,42527,Worfy,76561199052717313,9748926
4.1859784,15.488303,6.850478e-05,0,-1096.2787,1342.543,-112.05819,0.034455106,17,0,27,-1092.2698,1334.0662,-48.131058,10928638,,,3.0,7,1892383175,2420502755,2,0.0006,42532,Worfy,76561199052717313,9748926
3.5635297,8.307664,-2.715978e-06,0,-1102.9904,1360.0424,-112.16036,0.034893565,17,0,26,-1099.5676,1350.5111,-48.227524,10928638,,,4.0,7,1604894507,2420502755,2,0.0006,42537,Worfy,76561199052717313,9748926
4.6896405,-151.66656,-4.8018745e-10,0,-801.31573,1447.8629,-112.11652,0.12399357,16,0,18,-797.4392,1446.8687,-48.507362,3031120,,,1.1166861,7,3134503570,2420502755,2,0.0006,42538,Wybaczam.oficjalnie skins.army,76561199256543526,9289813
1.7446177,13.550677,4.2960215e-07,0,-1107.4926,1374.35,-112.06117,0.035173133,17,0,25,-1105.4015,1367.5354,-48.27963,10928638,,,5.0,7,3735131878,2420502755,2,0.0006,42541,Worfy,76561199052717313,9748926
3.1249714,-149.91962,0.0015140185,0,-810.9187,1446.9883,-112.21692,0.008889629,16,0,17,-809.75616,1447.7645,-48.62259,3031120,,,2.116686,7,897352432,2420502755,2,0.0006,42544,Wybaczam.oficjalnie skins.army,76561199256543526,9289813
1.7998447,14.825502,0.00013279186,0,-1112.7571,1392.3452,-111.96875,0.03611061,17,0,24,-1110.592,1384.7705,-48.215317,10928638,,,6.0,7,825037681,2420502755,2,0.0006,42546,Worfy,76561199052717313,9748926
3.9237263,-164.98198,-3.5957488e-08,0,-811.1351,1442.8396,-112.292915,0.011756405,16,0,16,-811.2018,1443.9347,-48.66543,3031120,,,3.116686,7,1902138063,2420502755,2,0.0006,42549,Wybaczam.oficjalnie skins.army,76561199256543526,9289813
1.9488778,9.668623,5.2699793e-06,0,-1116.973,1407.7655,-111.96875,0.032917656,17,0,23,-1115.2712,1401.6556,-48.09845,10928638,,,7.0,7,2060507940,2420502755,2,0.0006,42551,Worfy,76561199052717313,9748926
6.201926,-170.85373,-1.4624075e-05,0,-810.6302,1438.0493,-112.36883,0.013224784,16,0,15,-810.7163,1438.8015,-48.676155,3031120,,,4.116686,7,4202699115,2420502755,2,0.0006,42555,Wybaczam.oficjalnie skins.army,76561199256543526,9289813
1.4858804,8.712284,2.8417048e-07,0,-1118.9922,1412.3951,-111.96875,0.02185617,17,0,22,-1118.2446,1411.3525,-48.046875,10928638,,,8.0,7,3429005083,2420502755,2,0.0006,42556,Worfy,76561199052717313,9748926
1.155716,10.164424,3.2732046e-07,0,-1118.7986,1409.0032,-111.96875,0.021790523,17,0,21,-1119.0537,1411.5015,-48.046875,10928638,,,9.0,7,1751707957,2420502755,2,0.0006,42561,Worfy,76561199052717313,9748926
4.0190325,-172.97537,-2.2522986e-08,0,-810.5188,1437.0693,-112.384224,0.0145434635,16,0,14,-810.5188,1437.0693,-48.6811,3031120,,,5.116686,7,2342036071,2420502755,2,0.0006,42561,Wybaczam.oficjalnie skins.army,76561199256543526,9289813
2.1983018,8.730245,-3.5814262e-06,0,-1118.0394,1402.4537,-111.96875,0.032317773,17,0,20,-1118.4445,1405.9448,-48.06405,10928638,,,10.0,7,2348715438,2420502755,2,0.0006,42565,Worfy,76561199052717313,9748926
2.7320309,8.049249,2.7966562e-06,0,-1116.704,1390.6357,-111.96875,0.03492585,17,0,19,-1117.2998,1395.997,-48.123425,10928638,,,11.0,7,462974326,2420502755,2,0.0006,42570,Worfy,76561199052717313,9748926
2.341576,8.207726,1.1026317e-05,0,-1115.1213,1376.0896,-111.99262,0.03548902,17,0,18,-1115.8787,1383.0433,-48.191574,10928638,,,12.0,7,2744344533,2420502755,2,0.0006,42575,Worfy,76561199052717313,9748926
1.8259282,13.273786,-1.237288e-05,0,-1113.0455,1359.8033,-111.740685,0.0357778,17,0,17,-1114.1732,1368.1096,-48.216988,10928638,,,13.0,7,3197997318,2420502755,2,0.0006,42580,Worfy,76561199052717313,9748926
1.8381615,16.655355,-3.2352207e-05,0,-1110.1344,1342.4742,-111.755104,0.035882793,17,0,16,-1111.8217,1351.9277,-48.14469,10928638,,,14.0,7,2416921889,2420502755,2,0.0006,42585,Worfy,76561199052717313,9748926
2.1993408,16.320633,1.100992e-05,0,-1107.1797,1328.1622,-111.7899,0.035803873,17,0,15,-1108.6412,1335.0024,-48.06654,10928638,,,15.0,7,1792434111,2420502755,2,0.0006,42589,Worfy,76561199052717313,9748926
3.9885826,27.531803,0.0,0,-1077.6161,1293.3185,-111.96875,0.023346215,17,0,30,-1078.7152,1293.0333,-48.110962,4604380,,,0.0,7,1615480865,2420502755,2,0.0006,42599,zig,76561198274174345,688626
2.571784,-7.3645935,0.0,0,-904.1918,1421.6545,-112.144615,0.026667397,17,0,29,-904.46436,1419.6147,-48.466835,4604380,,,0.0,7,2215573294,2420502755,2,0.0006,42715,zig,76561198274174345,688626
3.5808287,-8.062346,-1.4063245e-08,0,-899.29065,1436.6984,-112.41862,0.02975646,17,0,28,-900.42065,1434.2407,-48.646492,4604380,,,1.0,7,2263746991,2420502755,2,0.0006,42720,zig,76561198274174345,688626
-1.4952118,177.40579,0.0,0,-404.58273,1374.3016,-126.46247,0.0064100022,7,0,26,-404.6834,1373.329,-62.829643,13189600,,,0.0,7,32487070,1605961519,2,0.0006,42720,Simple Dimple skins.army,76561199433997570,4456765
4.102249,-9.978227,-4.1831523e-08,0,-890.6063,1450.6136,-112.331154,0.031952363,17,0,27,-892.66736,1447.7859,-48.714294,4604380,,,2.0,7,1033398448,2420502755,2,0.0006,42725,zig,76561198274174345,688626
-0.7322131,175.93268,5.343803e-05,0,-404.58374,1374.2778,-126.461815,0.010748498,7,0,25,-404.5682,1374.4413,-62.857132,13189600,,,1.0,7,2001919252,1605961519,2,0.0006,42726,Simple Dimple skins.army,76561199433997570,4456765
5.395835,-10.946556,-8.757231e-08,0,-879.3461,1463.6798,-111.7611,0.033444725,17,0,26,-882.3368,1460.4937,-48.426033,4604380,,,3.0,7,1166620181,2420502755,2,0.0006,42730,zig,76561198274174345,688626
