attacker_slot,damage,hit_group,is_kill,penetration_count,round,tick,victim_pos_x,victim_pos_y,victim_pos_z,victim_slot
8,124,1,True,0,15,102386,1258.7231,2076.1794,0.8367081,4
0,71,1,False,0,15,102688,1777.4015,1973.063,3.3888857,8
8,8,2,False,1,15,102753,-85.59109,2142.222,-127.063194,0
8,23,8,False,0,15,102811,721.2768,2236.0027,-60.436413,1
5,34,3,False,0,15,102848,723.8472,2233.9856,-59.999935,1
5,34,3,False,0,15,102854,721.47546,2227.0527,-61.521187,1
5,27,2,True,0,15,102861,720.22156,2223.4207,-62.38424,1
2,17,3,False,2,15,102964,1769.0397,1978.8525,3.2588758,8
5,26,2,False,0,15,102975,367.8277,2151.7712,96.14913,2
5,27,2,False,0,15,102995,366.74957,2142.1897,96.09344,2
2,19,5,False,0,15,103000,1381.9636,1999.224,-7.4472656,5
2,4,2,False,1,15,103032,1382.148,2000.1665,-7.45665,5
5,27,2,False,0,15,103033,365.79974,2135.1577,96.03529,2
0,11,5,False,0,15,103300,1292.8472,2012.044,1.290116,5
0,11,5,False,0,15,103318,1293.2913,2014.941,1.3508931,5
0,11,2,False,0,15,103323,1292.9641,2012.5037,1.2997575,5
0,11,2,False,0,15,103674,1463.3873,2028.5571,-9.801298,5
0,45,1,False,0,15,103763,1554.5338,1994.2494,-9.451112,7
7,135,3,True,0,15,103768,-286.81824,2184.7798,-126.26072,0
2,19,2,False,0,15,103927,1489.6671,2617.685,77.846146,5
2,20,2,True,0,15,103936,1490.4244,2605.4897,74.86871,5
7,110,2,True,0,16,104429,499.94327,2077.802,96.09337,2
2,25,4,False,0,16,107256,-171.5809,787.0872,2.082458,8
2,25,2,False,0,16,107263,-173.94406,808.1066,1.7961575,8
8,109,1,True,0,16,107264,-501.4473,1070.1752,-62.360416,2
5,27,2,False,0,16,108005,-2182.941,2098.0405,4.56816,1
5,28,2,False,0,16,108011,-2182.941,2098.0405,4.56816,1
5,28,2,False,0,16,108031,-2182.9395,2098.0747,4.5675163,1
5,28,2,True,0,16,108037,-2182.94,2098.0627,4.5677414,1
4,14,2,False,0,16,108319,-542.6078,1984.7179,-118.81334,8
4,13,5,False,0,16,108324,-545.53925,1992.1184,-118.61491,8
8,141,1,True,0,16,108334,-40.27589,2084.017,-125.52081,4
5,8,5,False,0,16,109707,-64.92667,2148.4407,-127.326065,6
5,9,2,False,0,16,109737,-65.6536,2126.0898,-126.59025,6
5,35,1,False,0,16,109929,-136.9257,2091.4817,-125.07693,6
3,16,2,False,0,16,110607,60.33276,2127.6067,-125.44711,6
3,17,2,False,0,16,110617,91.73254,2127.1755,-123.79195,6
3,16,2,True,0,16,110622,96.699165,2124.6448,-123.76327,6
0,25,2,True,0,16,110802,-1692.1238,714.59314,31.147871,8
0,25,2,False,0,16,110888,-1702.4567,704.7921,32.152855,9
0,31,3,False,0,16,110894,-1705.9371,684.4172,32.1717,9
0,32,3,False,0,16,110901,-1707.3403,674.5067,32.144993,9
0,32,3,True,0,16,110907,-1711.2555,669.4036,32.126568,9
7,15,3,False,0,16,110942,-1478.7217,366.35303,1.3445212,0
7,16,3,False,0,16,110962,-1451.6763,379.3438,2.6206756,0
5,27,5,False,0,16,110974,-1440.183,387.05655,2.8521454,0
5,28,2,False,0,16,110980,-1434.851,391.55246,2.9870696,0
7,15,3,True,0,16,110981,-1433.8173,392.4905,3.0044143,0
7,5,3,False,0,17,111216,-1424.5504,55.065647,69.03125,5
